neighborhoods,year,count
Bernal Heights,2005,47
Haight Ashbury,1999 ,101
Seacliff,2015 ,2
Lincoln Park,1998 ,1
Lincoln Park,2002 ,1
Japantown,2001 ,4
Hayes Valley,2000 ,135
Presidio Heights,2005 ,27
Potrero Hill,2009 ,14
Outer Richmond,2002 ,81
Outer Richmond,1998 ,152
Outer Mission,2006 ,20
Pacific Heights,2012 ,38
Japantown,2000 ,5
Presidio Heights,2004 ,20
CastroUpper Market,1998 ,145
CastroUpper Market,2002 ,89
Hayes Valley,2001 ,91
Bernal Heights,2004 ,45
Chinatown,2009 ,13
Western Addition,2013 ,32
Portola,2007 ,14
North Beach,2009 ,17
Lone MountainUSF,1997 ,94
Inner Sunset,1997 ,73
Bayview Hunters Point,2013 ,49
Marina,2005 ,29
Presidio,2008 ,1
Visitacion Valley,2000 ,41
Twin Peaks,2008 ,22
Glen Park,2009 ,5
West of Twin Peaks,2007 ,13
Financial DistrictSouth Beach,2004 ,7
Tenderloin,1999 ,78
Inner Richmond,1998 ,70
Inner Richmond,2002 ,58
Russian Hill,2006 ,40
Pacific Heights,2015 ,57
Mission,2007 ,161
Visitacion Valley,2001 ,41
Financial DistrictSouth Beach,2005 ,9
Noe Valley,2013 ,36
Lakeshore,2007 ,11
Marina,2004 ,75
South of Market,1997 ,37
Nob Hill,2004 ,61
Pacific Heights,2008 ,35
Outer Mission,2003 ,21
Glen Park,2001 ,11
Lincoln Park,2007 ,2
Haight Ashbury,1997 ,114
Noe Valley,2016 ,41
North Beach,2001 ,50
OceanviewMercedIngleside,2004 ,29
OceanviewMercedIngleside,2005 ,33
Outer Mission,2010 ,11
North Beach,2000 ,57
Nob Hill,2005 ,70
Western Addition,2016 ,36
CastroUpper Market,2007 ,46
Twin Peaks,2015 ,21
Bayview Hunters Point,2016 ,81
Russian Hill,2011 ,36
Visitacion Valley,2009 ,9
Glen Park,2000 ,20
Outer Richmond,2007 ,63
Russian Hill,2003 ,13
Japantown,2009 ,3
Potrero Hill,2000 ,52
Lone MountainUSF,1999 ,58
Inner Sunset,1999 ,77
West of Twin Peaks,2002 ,39
West of Twin Peaks,1998 ,64
Chinatown,2000 ,23
SunsetParkside,2004 ,64
Portola,2002 ,12
Portola,1998 ,68
Tenderloin,1997 ,57
Lakeshore,1998 ,81
Lakeshore,2002 ,2
Excelsior,2014 ,68
SunsetParkside,2005 ,71
Russian Hill,2010 ,8
Chinatown,2001 ,26
Seacliff,2008 ,1
Mission,1998 ,341
Mission,2002 ,177
Potrero Hill,2001 ,28
